UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Hell Jaibo,@RAM22510098,2021-01-22T11:56:26.000Z,"#TwitterEsPanistaQuote Tweet
Sin Embargo MX
@SinEmbargoMX
 · Jan 21
Usuarios vuelven tendencia #TwitterEsPanista luego de que la red suspendió cuentas afines a AMLO https://sinembargo.mx/21-01-2021/3928026…",🦀,,,,"['https://pbs.twimg.com/profile_images/922862693383417856/31NGF058_normal.jpg', 'https://pbs.twimg.com/media/EsUCkEaXMAMtIZP?format=jpg&name=small']",https://twitter.com/RAM22510098/status/1352585914065760257
Diógenes el Cínico,@SHRD92721941,2021-01-22T11:55:54.000Z,"#TwitterEsPanista
Ya ex tendencia Coca-Cola
no tienen madre 
@TwitterMexico",🐕,1,1,1,['https://pbs.twimg.com/media/EsVZlQCXcAYxHbh?format=jpg&name=large'],https://twitter.com/SHRD92721941/status/1352585780842160128
Ivol Mortínez,@CharlieUchiha,2021-01-22T11:55:32.000Z,"#TwitterEsPanistaQuote Tweet
𝐕𝐞𝐫ó𝐧𝐢𝐜𝐚 𝐆𝐨𝐧𝐳á𝐥𝐞𝐳
@taller2006
 · Jan 21
¿Sería este el motivo por el cuál suspendieron a @ElReyTuitero?
Show this thread",,,,,"['https://pbs.twimg.com/profile_images/1274089281582174208/nbORDAyw_normal.jpg', 'https://pbs.twimg.com/media/EsR7jjkU4AAFJ_r?format=jpg&name=medium']",https://twitter.com/CharlieUchiha/status/1352585686549987330
JuanI Pedroza,@jipedroza,2021-01-22T11:55:23.000Z,"Y el 
@MetroCDMX
 ?
#descansa 
#TwitterCensura 
#TwitterEsPanistaGIF",,,1,,['https://pbs.twimg.com/tweet_video_thumb/EsVZeP3XcAYZ62_.jpg'],https://twitter.com/jipedroza/status/1352585649824665606
ZITRO,@Zitro4T,2021-01-22T11:52:42.000Z,"Replying to 
@patyperAquí ya no hay simulación, ¡!más bien ¡ES UN DESCARO!! Porque #TwitterEsPanista por eso #TwitterCensura",🛡 ⚔,,1,1,[],https://twitter.com/Zitro4T/status/1352584974441000960
El Apa,@el_apa_sonico,2021-01-22T11:52:38.000Z,"El Panista que trabaja en #TwitterEsPanistaQuote Tweet
Karla
@Karlycc
 · Jan 21
Yo sólo pasé a dejar este CV de un conocido,que dice que no pertenece al #PAN pero en su CV dice que si perteneció @AccionNacional.
Ni le den RT porque @TwitterMexico se enoja.
Show this thread",,,1,2,"['https://pbs.twimg.com/profile_images/1345220694456610816/So47A7FA_normal.jpg', 'https://pbs.twimg.com/media/EsTrSCeXEAEG7YI?format=jpg&name=900x900']",https://twitter.com/el_apa_sonico/status/1352584958540394496
Josesa,@Josesarti2,2021-01-22T11:51:13.000Z,"Replying to 
@Mabellefamille2
 @ITANDEHUI1801
 and 2 others#TwitterEsPanista y poco profesional",,,,1,[],https://twitter.com/Josesarti2/status/1352584603702321154
Emiliano Paredes Gorostieta,@emipargor,2021-01-22T11:50:57.000Z,"yo cuando leo que #TwitterEsPanista 
GRACIAS A DIOS NO",,,1,,[],https://twitter.com/emipargor/status/1352584534412374016
Josesa,@Josesarti2,2021-01-22T11:50:34.000Z,"Replying to 
@Reinasutra_26
 @AragonEquity
 and 4 others#TwitterEsPanista y poco profesional",,,,1,[],https://twitter.com/Josesarti2/status/1352584438773932033
El Apa,@el_apa_sonico,2021-01-22T11:50:22.000Z,#TwitterEsPanista no hay más que decir. Espero no me censuren.,,,,,['https://pbs.twimg.com/media/EsVYVWFW4AAt-UG?format=jpg&name=small'],https://twitter.com/el_apa_sonico/status/1352584388362514433
