UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Notimex,@Notimex,2020-06-08T17:19:41.000Z,"El zacatecano Manuel Felguérez destacó en su trayectoria artística por ser un maestro del arte abstracto, innovador en la pintura y la escultura.
  http://ow.ly/eucF50A22PT
@Notimex_TV
• #Notimex",➡,2,15,32,['https://pbs.twimg.com/media/EaAZOSlX0AM21QA?format=jpg&name=small'],https://twitter.com/Notimex/status/1270042829751037953
Notimex TV,@Notimex_TV,2020-06-08T17:11:58.000Z," | «El titular del Instituto Mexicano del Seguro Social (
@Tu_IMSS
), Zoé Robledo (
@zoerobledo
), informó que dio positivo al virus #SARS-CoV-2, causante de la enfermedad #COVID19».   

#Notimex_TV  
#NotimexThe media could not be played.
Reload",📽,,,,[],https://twitter.com/Notimex_TV/status/1270040887423373314
Notimex,@Notimex,2020-06-08T17:10:06.000Z,"Estas son las #efemérides de #espectáculos para el 9 de junio. 
  http://ow.ly/nbNZ50A1Mg9
  IG/Natalie Portman 
@Notimex_TV
• #Notimex",➡ 📷,,1,9,['https://pbs.twimg.com/media/EaAXB0fWoAsoagG?format=png&name=small'],https://twitter.com/Notimex/status/1270040416755355652
Notimex,@Notimex,2020-06-08T17:02:01.000Z," #VIDEO | «
@zoerobledo
, titular de 
@Tu_IMSS
 da positivo a #COVID19».
@Notimex_TV
• #Notimex",🎥,,10,9,['https://pbs.twimg.com/ext_tw_video_thumb/1270037049916174337/pu/img/zrhFm-NBEuBovbBA.jpg'],https://twitter.com/Notimex/status/1270038383830749197
Dıego dαvıη Chı,@SirDiegoChi,2020-06-08T15:56:53.000Z,"Aunque digan que 
@AristeguiOnline
 está obsesionada con 
@SanjuanaNotimex
 y el tema #NOTIMEX y que parece más personal (por los ataques que recibió Carmen Aristegui sobre su vida personal y su hijo supuestamente con Emilio Zebadúa) que periodístico, NO ES ASÍ. No es un tema menor…",,1,,,[],https://twitter.com/SirDiegoChi/status/1270021990791786497
Notimex,@Notimex,2020-06-08T15:50:05.000Z,"La mayoría de las personas que lleguen al Reino Unido a partir de este lunes deberán permanecer en #cuarentena durante dos semanas, para evitar la importación de nuevos casos de #COVID19 en el país, una medida que afecta al turismo.
@Notimex_TV
• #Notimex",,,3,5,['https://pbs.twimg.com/media/EaAEtudXgAAZmwR?format=jpg&name=small'],https://twitter.com/Notimex/status/1270020280438710272
Jesús Galicia,@Galicia3ro,2020-06-08T15:47:32.000Z,"Replying to 
@SanjuanaNotimexSan Juana, gracias a ti, por ser una mujer tan valiente, por liberar a #NOTIMEX de los corruptos.

Ánimo vas muy bien...",,,,,[],https://twitter.com/Galicia3ro/status/1270019638471151622
Notimex TV,@Notimex_TV,2020-06-08T15:45:24.000Z," | «Alrededor de unos 20 #jóvenes se manifestaron este domingo en la Explanada de los Héroes, frente al Palacio de Gobierno de Nuevo León (
@nuevoleon
) en protesta por la muerte de #GiovanniLópez a manos de policías de #Jalisco».  

#Notimex_TV  
#Notimex0:38
44 views",📽,,,1,[],https://twitter.com/Notimex_TV/status/1270019102179045377
Evangelina del Toro,@Eviux_Ardillux,2020-06-08T15:43:46.000Z,"Escuchen a 
@AristeguiOnline
 ahora con más del caso #Notimex en un día trascendental para el futuro de la agencia y para nosotros, los trabajadores, que seguimos en lucha por la defensa de nuestros derechos laborales  #Somosperiodistas #Nomåsinjusticias #Bastadementir #Sanjuana",,,4,6,[],https://twitter.com/Eviux_Ardillux/status/1270018689757257728
Notimex TV,@Notimex_TV,2020-06-08T15:41:22.000Z," | «Integrantes del medio del #espectáculo piden apoyo del Gobierno Federal en la Ciudad de #México».
@Biankguirre
 

#CDMX
#Notimex_TV
#Notimex",📽,,1,4,['https://pbs.twimg.com/ext_tw_video_thumb/1270017988368961536/pu/img/Ur5NqBsJm0l_Z27W.jpg'],https://twitter.com/Notimex_TV/status/1270018086746406917
